Category,Question,Answer
basic_info,What is the full name of JSCOE?,JSPM's Jayawantrao Sawant College of Engineering (JSCOE)
basic_info,Where is JSCOE located?,"Pune, Maharashtra."
basic_info,What is the postal address of JSCOE?,"58, Indrayani Nagar, Handewadi Road, Hadapsar, Pune, Maharashtra 411028"
basic_info,Is JSCOE a government or private college?,Private engineering college
basic_info,Which university is JSCOE affiliated to?,Savitribai Phule Pune University (SPPU)
basic_info,What approvals and accreditations does JSCOE have?,"AICTE, New Delhi; NBA (selected programs); NAAC A+ (as per institute disclosures)"
basic_info,What is the official website of JSCOE?,jspmjscoe.edu.in
basic_info,What is the website of the JSPM group?,jspm.edu.in
admission,Who is the admission contact for First Year Engineering (FE)?,Dr. Manish Gardi – 7558670405.
admission,What is the phone number for First Year Engineering (FE) admissions?,7558670405
admission,Who is the admission contact for Direct Second Year (DSE)?,Prof. Vijay Kharade – 9763225246.
admission,What is the phone number for Direct Second Year (DSE) admissions?,9763225246
admission,Who is the admission contact for MBA?,Prof. Sashi Bhushan Rai – 9975927949.
admission,What is the phone number for MBA admissions?,9975927949
admission,Who is the admission contact for MCA?,Prof. Swayam Shaha – 9890792906.
admission,What is the phone number for MCA admissions?,9890792906
admission,Who is the admission contact for M.E./PG?,Prof. M. D. Ingle – 9975563721.
admission,What is the phone number for M.E./PG admissions?,9975563721
admission,What is the general admissions email for JSCOE?,admission@jspmjscoe.edu.in
contact,What is the college telephone number?,020-26970886
contact,What is the principal's email ID?,principal@jspmjscoe.edu.in
basic_info,Does JSCOE offer Computer Engineering at the undergraduate level?,Yes. B.E. in Computer Engineering.
basic_info,What is the UG program structure for Computer Engineering?,Four-year B.E. program under SPPU with choice-based credit system.
labs,What are common labs for Computer Engineering?,Department-specific labs with modern equipment; access to central facilities and e-resources.
basic_info,Does JSCOE offer Electronics and Telecommunication Engineering at the undergraduate level?,Yes. B.E. in Electronics and Telecommunication Engineering.
basic_info,What is the UG program structure for Electronics and Telecommunication Engineering?,Four-year B.E. program under SPPU with choice-based credit system.
labs,What are common labs for Electronics and Telecommunication Engineering?,Department-specific labs with modern equipment; access to central facilities and e-resources.
basic_info,Does JSCOE offer Electrical Engineering at the undergraduate level?,Yes. B.E. in Electrical Engineering.
basic_info,What is the UG program structure for Electrical Engineering?,Four-year B.E. program under SPPU with choice-based credit system.
labs,What are common labs for Electrical Engineering?,Department-specific labs with modern equipment; access to central facilities and e-resources.
basic_info,Does JSCOE offer Information Technology at the undergraduate level?,Yes. B.E. in Information Technology.
basic_info,What is the UG program structure for Information Technology?,Four-year B.E. program under SPPU with choice-based credit system.
labs,What are common labs for Information Technology?,Department-specific labs with modern equipment; access to central facilities and e-resources.
basic_info,Does JSCOE offer Mechanical Engineering at the undergraduate level?,Yes. B.E. in Mechanical Engineering.
basic_info,What is the UG program structure for Mechanical Engineering?,Four-year B.E. program under SPPU with choice-based credit system.
labs,What are common labs for Mechanical Engineering?,Department-specific labs with modern equipment; access to central facilities and e-resources.
labs,Is Computer Engineering (M.E./M.Tech) available at JSCOE?,Yes. Computer Engineering (M.E./M.Tech).
basic_info,What is the duration of Computer Engineering (M.E./M.Tech) at JSCOE?,Two years (4 semesters).
labs,Is Digital Systems (M.E.) available at JSCOE?,Yes. Digital Systems (M.E.).
basic_info,What is the duration of Digital Systems (M.E.) at JSCOE?,Two years (4 semesters).
labs,Is Design Engineering (M.E.) available at JSCOE?,Yes. Design Engineering (M.E.).
basic_info,What is the duration of Design Engineering (M.E.) at JSCOE?,Two years (4 semesters).
labs,Is Heat Power Engineering (M.E.) available at JSCOE?,Yes. Heat Power Engineering (M.E.).
basic_info,What is the duration of Heat Power Engineering (M.E.) at JSCOE?,Two years (4 semesters).
labs,Is MBA (Master of Business Administration) available at JSCOE?,Yes. MBA (Master of Business Administration).
basic_info,What is the duration of MBA (Master of Business Administration) at JSCOE?,Two years (4 semesters).
labs,Is MCA (Master of Computer Applications) available at JSCOE?,Yes. MCA (Master of Computer Applications).
basic_info,What is the duration of MCA (Master of Computer Applications) at JSCOE?,Two years (4 semesters).
basic_info,Does JSCOE have modern classrooms with av aids?,Yes.
labs,Does JSCOE have well-equipped laboratories?,Yes.
facilities,Does JSCOE have jayawant central library (print & digital resources)?,Yes.
facilities,Does JSCOE have hostels (separate for girls)?,Yes.
facilities,Does JSCOE have cafeteria & canteen?,Yes.
facilities,Does JSCOE have bus/transport services across pune region?,Yes.
facilities,Does JSCOE have sports facilities & grounds?,Yes.
basic_info,Does JSCOE have moodle lms and e-learning portals?,Yes.
basic_info,Does JSCOE have incubation center (jade section 8 company support)?,Yes.
basic_info,Does JSCOE have coursera/nptel/swayam access?,Yes.
basic_info,Does JSCOE have wi-fi enabled campus?,Yes.
facilities,When was the central library established?,2004
labs,What digital learning platforms are available at JSCOE?,"Moodle LMS, NPTEL, SWAYAM, Coursera (as per institute links)."
events,Which clubs exist in Computer Engineering at JSCOE?,"IoT Club, Cyber Security Club, Developer Students Club, Robo-AI Club"
events,Is there a IoT Club in Computer Engineering?,Yes.
events,Is there a Cyber Security Club in Computer Engineering?,Yes.
events,Is there a Developer Students Club in Computer Engineering?,Yes.
events,Is there a Robo-AI Club in Computer Engineering?,Yes.
events,Which clubs exist in Electronics & Telecommunication at JSCOE?,"Potential Club, Flash Club, CodeIt Club"
events,Is there a Potential Club in Electronics & Telecommunication?,Yes.
events,Is there a Flash Club in Electronics & Telecommunication?,Yes.
events,Is there a CodeIt Club in Electronics & Telecommunication?,Yes.
events,Which clubs exist in Electrical Engineering at JSCOE?,SPARKLE Club
events,Is there a SPARKLE Club in Electrical Engineering?,Yes.
events,Which clubs exist in Information Technology at JSCOE?,Coders Club
events,Is there a Coders Club in Information Technology?,Yes.
events,Which clubs exist in Mechanical Engineering at JSCOE?,"Auto Club, Drone Club, Discovery Club, ISHRAE Club, VLCI Club"
events,Is there a Auto Club in Mechanical Engineering?,Yes.
events,Is there a Drone Club in Mechanical Engineering?,Yes.
events,Is there a Discovery Club in Mechanical Engineering?,Yes.
events,Is there a ISHRAE Club in Mechanical Engineering?,Yes.
events,Is there a VLCI Club in Mechanical Engineering?,Yes.
events,When was Techmanthan 2025 held?,28-Jan-25
events,Tell me about Techmanthan 2025.,Techmanthan 2025 was organized at JSCOE; date: 28 January 2025.
events,When was Startup Feast under Techmanthan held?,28–29 January 2025
events,Tell me about Startup Feast under Techmanthan.,Startup Feast under Techmanthan was organized at JSCOE; date: 28–29 January 2025.
history,When was A seminar for SE students by Aditi Singhal held?,24-Jan-25
basic_info,Tell me about A seminar for SE students by Aditi Singhal.,A seminar for SE students by Aditi Singhal was organized at JSCOE; date: 24 January 2025.
history,When was Induction Program for SE & TE (AY 2025–26) held?,9-Jul-25
basic_info,Tell me about Induction Program for SE & TE (AY 2025–26).,Induction Program for SE & TE (AY 2025–26) was organized at JSCOE; date: 09 July 2025.
history,When was Kargil Vijay Diwas Celebration held?,31-Jul-25
basic_info,Tell me about Kargil Vijay Diwas Celebration.,Kargil Vijay Diwas Celebration was organized at JSCOE; date: 31 July 2025.
history,When was Ganpati Mahotsav held?,30-Aug-25
basic_info,Tell me about Ganpati Mahotsav.,Ganpati Mahotsav was organized at JSCOE; date: 30 August 2025.
